flexor_picks,flexor_d_values,extensor_picks,extensor_d_values,patient,selection_source,chosen_channels
"[35, 12]","[4.464644910845329, 4.320541251790212]","[51, 32]","[-0.7725576837535779, 1.700125585486954]",patient39,01.parquet,"[35, 51, 12, 32]"
"[34, 33]","[13.233338610379578, 10.593721324488557]","[16, 32]","[-2.2561714469908924, -1.582184739695916]",patient40,01.parquet,"[34, 16, 33, 32]"
"[22, 21]","[2.2736201654065393, 2.1815337176564036]","[51, 35]","[-0.30103262485379256, -0.22489467550917897]",patient41,01.parquet,"[22, 51, 21, 35]"
"[38, 39]","[4.335226116616292, 4.297634712068086]","[47, 63]","[-0.5061218064005065, 0.5276373909153367]",patient42,01.parquet,"[38, 47, 39, 63]"
"[28, 44]","[-0.9131062111143479, -0.9471857794164606]","[34, 18]","[-4.978523671468579, -4.646564406013515]",patient43,01.parquet,"[28, 34, 44, 18]"
"[9, 8]","[5.265329039508235, 5.253679929567985]","[51, 50]","[1.4417680402440574, 1.8083421791302108]",patient44,01.parquet,"[9, 51, 8, 50]"
"[7, 23]","[3.5222099830000686, 3.4517057026298894]","[30, 15]","[-2.2041230793813194, -1.761690140251803]",patient45,01.parquet,"[7, 30, 23, 15]"
"[3, 2]","[1.9726974114275626, 1.8937330980221183]","[61, 47]","[-1.8728554324234366, -1.8697833359421758]",patient46,01.parquet,"[3, 61, 2, 47]"
"[59, 58]","[3.7875632441708955, 2.634970920297702]","[52, 20]","[-2.8244481177620653, -2.5949606064057127]",patient47,01.parquet,"[59, 52, 58, 20]"
"[5, 6]","[5.097668312959801, 4.577824655206995]","[19, 52]","[0.5042074951745433, 0.5614007510117769]",patient48,01.parquet,"[5, 19, 6, 52]"
