model,n_trees,batch_size,n_repeats,mean_batch_ms,per_row_ms,rows_per_sec
heavy_grabmyo_base,6090,1,50,148.68811499999995,148.68811499999995,6.72548710433245
heavy_grabmyo_base,6090,32,50,176.80374495999993,5.525117029999998,180.99164136619208
heavy_grabmyo_base,6090,256,50,209.53466420000012,0.8184947820312505,1221.754887084692
heavy_grabmyo_base,6090,4096,50,819.9982400000004,0.20019488281250009,4995.13267247988
fast_per_session,900,1,50,23.837896719999492,23.837896719999492,41.95000975740536
fast_per_session,900,32,50,17.517229979999627,0.5474134368749883,1826.7728423121773
fast_per_session,900,256,50,21.27097420000041,0.0830897429687516,12035.17984615839
fast_per_session,900,4096,50,79.54105585999997,0.019419203090820306,51495.419009892954
