config,level,label,N,alpha,enter,exit,floor,cooldown_ms,patient_transition_acc,patient_ci_lo,patient_ci_hi,session_transition_acc,session_ci_lo,session_ci_hi,raw_full_stream_acc,added_latency_ms
raw_classifier,0,Raw HGB (no pipeline),1,0.0,0.0,0.0,0.0,0,0.5719828204203204,0.5238714331097144,0.6189619682979058,0.5699088145896657,0.5349164133738602,0.6063829787234043,0.9090777450481835,0
level_1,1,Max Assist,1,0.7,0.3,0.2,0.15,800,0.46678113553113554,0.41540306915306907,0.5207746290168165,0.46808510638297873,0.4316109422492401,0.5075987841945289,0.8740691144912109,0
level_2,2,High Assist,1,0.6,0.4,0.25,0.25,600,0.4293538348225849,0.3796460989820365,0.4829103166798479,0.42401215805471126,0.3860182370820669,0.46200607902735563,0.8764439681887322,0
level_3,3,Moderate Assist,2,0.5,0.5,0.3,0.35,500,0.5707454871517371,0.5226214620159931,0.6156070658219095,0.5699088145896657,0.5333966565349545,0.60790273556231,0.8894029118053168,50
level_4,4,Light Assist,3,0.4,0.6,0.35,0.45,400,0.6059690020627521,0.5574849918599919,0.6513376228805916,0.60790273556231,0.5714285714285714,0.6458966565349544,0.9087558233611684,100
level_5,5,Minimal Assist,3,0.3,0.7,0.4,0.55,300,0.5967304107929108,0.5513210342897843,0.6417652363550801,0.5972644376899696,0.5623100303951368,0.6337386018237082,0.9047071395930499,100
