config,level,label,N,alpha,enter,exit,floor,cooldown_ms,patient_transition_acc,patient_ci_lo,patient_ci_hi,session_transition_acc,session_ci_lo,session_ci_hi,raw_full_stream_acc,added_latency_ms
raw_classifier,0,Raw HGB (no pipeline),1,0.0,0.0,0.0,0.0,0,0.2770919184981685,0.22298339608886486,0.33289571539571533,0.26443768996960487,0.23252279635258358,0.2978723404255319,0.9090777450481835,0
level_1,1,Max Assist,1,0.7,0.3,0.2,0.15,800,0.4444560936748437,0.39095389347342474,0.499709088654401,0.44680851063829785,0.41033434650455924,0.48632218844984804,0.8740691144912109,0
level_2,2,High Assist,1,0.6,0.4,0.25,0.25,600,0.4051556371868872,0.3536394710613461,0.46319955290658416,0.4012158054711246,0.364741641337386,0.43617021276595747,0.8764439681887322,0
level_3,3,Moderate Assist,2,0.5,0.5,0.3,0.35,500,0.42995982605357613,0.3722148821953509,0.4878866482186794,0.43009118541033436,0.39361702127659576,0.46656534954407297,0.8894029118053168,50
level_4,4,Light Assist,3,0.4,0.6,0.35,0.45,400,0.49762303668553676,0.44467481737012987,0.5518800846144596,0.49544072948328266,0.45896656534954405,0.5334346504559271,0.9087558233611684,100
level_5,5,Minimal Assist,3,0.3,0.7,0.4,0.55,300,0.3595100501350501,0.30747415923197174,0.4150221711159211,0.34802431610942247,0.31155015197568386,0.3860182370820669,0.9047071395930499,100
