N,profile,patient_transition_acc,patient_ci_lo,patient_ci_hi,session_transition_acc,session_ci_lo,session_ci_hi,raw_full_stream_acc,added_latency_ms
1,Max / High Assist (Levels 1-2),0.2770919184981685,0.22298339608886486,0.33289571539571533,0.26443768996960487,0.23252279635258358,0.2978723404255319,0.9091688917348283,0
2,Moderate Assist (Level 3),0.38905489764864765,0.34094199781699774,0.4425756166576479,0.378419452887538,0.3419072948328267,0.41641337386018235,0.9138808007829018,50
3,Light / Minimal Assist (Levels 4-5) — deployed default,0.46354753464128473,0.40806204718314093,0.5233632195350946,0.46048632218844987,0.42401215805471126,0.49848024316109424,0.9172697507520932,100
5,(sensitivity only — not in any profile),0.5747678536741037,0.5202391185203685,0.6287371764520202,0.5699088145896657,0.5334346504559271,0.60790273556231,0.9243436552332395,200
10,(sensitivity only — not in any profile),0.6862198854386353,0.6408242206289081,0.7287743455907518,0.6717325227963525,0.6382978723404256,0.7051671732522796,0.9252558324976743,450
