context,gt,pred,count,row_pct
overall,rest,rest,13556,98.18208155283553
overall,rest,close,169,1.2240168030709062
overall,rest,open,82,0.5939016440935757
overall,close,rest,627,0.45452568396328996
overall,close,close,126904,91.99541849709306
overall,close,open,10415,7.550055818943645
overall,open,rest,136,0.9865796155241204
overall,open,close,3607,26.166122597025755
overall,open,open,10042,72.84729778745013
arm:healthy,rest,rest,3797,99.63264235108895
arm:healthy,rest,close,7,0.18367882445552347
arm:healthy,rest,open,7,0.18367882445552347
arm:healthy,close,rest,56,0.1466237268609431
arm:healthy,close,close,35746,93.59306679234415
arm:healthy,close,open,2391,6.260309480794909
arm:healthy,open,rest,3,0.0791765637371338
arm:healthy,open,close,669,17.656373713380837
arm:healthy,open,open,3117,82.26444972288203
arm:impaired,rest,rest,9759,97.62905162064826
arm:impaired,rest,close,162,1.6206482593037215
arm:impaired,rest,open,75,0.7503001200480192
arm:impaired,close,rest,571,0.5724138622397321
arm:impaired,close,close,91158,91.38371778292382
arm:impaired,close,open,8024,8.043868354836446
arm:impaired,open,rest,133,1.330532212885154
arm:impaired,open,close,2938,29.39175670268107
arm:impaired,open,open,6925,69.27771108443378
