N,profile,patient_transition_acc,patient_ci_lo,patient_ci_hi,session_transition_acc,session_ci_lo,session_ci_hi,raw_full_stream_acc,added_latency_ms
1,Max / High Assist (Levels 1-2),0.5719828204203204,0.5238714331097144,0.6189619682979058,0.5699088145896657,0.5349164133738602,0.6063829787234043,0.9091688917348283,0
2,Moderate Assist (Level 3),0.6041216595904096,0.555029125243969,0.6514120840097403,0.6033434650455927,0.5683890577507599,0.6398176291793313,0.9138808007829018,50
3,Light / Minimal Assist (Levels 4-5) — deployed default,0.6262116066803567,0.5764348563762626,0.6733582498230936,0.6246200607902735,0.5911854103343465,0.6610942249240122,0.9172697507520932,100
5,(sensitivity only — not in any profile),0.678426319051319,0.6320320203523327,0.7237977979774854,0.6747720364741642,0.6398176291793313,0.709726443768997,0.9243436552332395,200
10,(sensitivity only — not in any profile),0.7032627095127095,0.6596438153860029,0.7447529597138971,0.6884498480243161,0.6550151975683891,0.723404255319149,0.9252558324976743,450
