level,label,N,alpha,enter,exit,floor,cooldown_ms,patient_transition_acc,patient_ci_lo,patient_ci_hi,raw_full_stream_acc,added_latency_ms
0,Raw HGB (no pipeline),1,0.0,0.0,0.0,0.0,0,0.6008771929824561,0.4978070175438596,0.6995614035087719,0.9593017837278365,0
1,Max Assist,1,0.7,0.3,0.2,0.15,800,0.5219298245614035,0.4364035087719298,0.6096491228070174,0.9545510713371496,0
2,High Assist,1,0.6,0.4,0.25,0.25,600,0.5394736842105263,0.4276315789473684,0.6447368421052632,0.9575216564289032,0
3,Moderate Assist,2,0.5,0.5,0.3,0.35,500,0.5657894736842105,0.47368421052631576,0.6578947368421053,0.9583849019335903,50
4,Light Assist,3,0.4,0.6,0.35,0.45,400,0.5482456140350876,0.46710526315789475,0.631578947368421,0.9600352056384228,100
5,Minimal Assist,3,0.3,0.7,0.4,0.55,300,0.5482456140350876,0.46710526315789475,0.631578947368421,0.9598414516739491,100
