level,label,N,alpha,enter,exit,floor,cooldown_ms,patient_transition_acc,patient_ci_lo,patient_ci_hi,raw_full_stream_acc,added_latency_ms
0,Raw HGB (no pipeline),1,0.0,0.0,0.0,0.0,0,0.6271929824561403,0.5438048245614034,0.712719298245614,0.9593017837278365,0
1,Max Assist,1,0.7,0.3,0.2,0.15,800,0.5416666666666666,0.4495065789473684,0.6338267543859646,0.9545510713371496,0
2,High Assist,1,0.6,0.4,0.25,0.25,600,0.5526315789473685,0.4407894736842105,0.6578947368421053,0.9575216564289032,0
3,Moderate Assist,2,0.5,0.5,0.3,0.35,500,0.6052631578947368,0.5263157894736842,0.6843749999999991,0.9583849019335903,50
4,Light Assist,3,0.4,0.6,0.35,0.45,400,0.587719298245614,0.5175438596491228,0.6600877192982456,0.9600352056384228,100
5,Minimal Assist,3,0.3,0.7,0.4,0.55,300,0.587719298245614,0.5175438596491228,0.6600877192982456,0.9598414516739491,100
