raw_acc,balanced_acc,majority_baseline,n_test,n_train,patient
0.9278350515463918,0.7458847736625515,0.8359133126934984,194,775,patient1
0.9536082474226805,0.8688271604938271,0.8359133126934984,194,775,patient2
0.8762886597938144,0.6314300411522634,0.8359133126934984,194,775,patient3
0.9278350515463918,0.8209876543209876,0.8359133126934984,194,775,patient4
0.8969072164948454,0.6396604938271605,0.8359133126934984,194,775,patient5
0.8865979381443299,0.6730967078189302,0.8359133126934984,194,775,patient6
0.9329896907216495,0.7291666666666666,0.8359133126934984,194,775,patient7
0.9226804123711341,0.706275720164609,0.8359133126934984,194,775,patient8
0.9484536082474226,0.8104423868312757,0.8359133126934984,194,775,patient9
0.9587628865979382,0.8333333333333334,0.8359133126934984,194,775,patient10
0.9226804123711341,0.8001543209876543,0.8359133126934984,194,775,patient11
0.9226804123711341,0.7813786008230452,0.8359133126934984,194,775,patient12
0.9123711340206185,0.7021604938271605,0.8359133126934984,194,775,patient13
0.9432989690721649,0.8271604938271605,0.8359133126934984,194,775,patient14
0.9278350515463918,0.7834362139917695,0.8359133126934984,194,775,patient15
0.979381443298969,0.9166666666666666,0.8359133126934984,194,775,patient16
0.9432989690721649,0.8271604938271605,0.8359133126934984,194,775,patient17
0.8969072164948454,0.6584362139917695,0.8359133126934984,194,775,patient18
0.9123711340206185,0.6833847736625515,0.8359133126934984,194,775,patient19
0.9175257731958762,0.7417695473251028,0.8359133126934984,194,775,patient20
0.9484536082474226,0.8855452674897119,0.8359133126934984,194,775,patient21
0.9226804123711341,0.6875,0.8359133126934984,194,775,patient22
0.9072164948453608,0.7188786008230452,0.8359133126934984,194,775,patient23
0.9432989690721649,0.8834876543209876,0.8359133126934984,194,775,patient24
0.8969072164948454,0.7335390946502057,0.8359133126934984,194,775,patient25
0.9072164948453608,0.7001028806584362,0.8359133126934984,194,775,patient26
0.9278350515463918,0.7271090534979424,0.8359133126934984,194,775,patient27
0.8865979381443299,0.5979938271604938,0.8359133126934984,194,775,patient28
0.9381443298969072,0.8251028806584362,0.8359133126934984,194,775,patient29
0.9123711340206185,0.7021604938271605,0.8359133126934984,194,775,patient30
0.9020618556701031,0.6604938271604938,0.8359133126934984,194,775,patient31
0.9484536082474226,0.8479938271604938,0.8359133126934984,194,775,patient32
0.9432989690721649,0.7896090534979424,0.8359133126934984,194,775,patient33
0.8969072164948454,0.6021090534979424,0.8359133126934984,194,775,patient34
0.9072164948453608,0.6625514403292181,0.8359133126934984,194,775,patient35
0.9432989690721649,0.8459362139917695,0.8359133126934984,194,775,patient36
0.9536082474226805,0.831275720164609,0.8359133126934984,194,775,patient37
0.9175257731958762,0.6854423868312757,0.8359133126934984,194,775,patient38
0.9432989690721649,0.8834876543209876,0.8359133126934984,194,775,patient39
0.9329896907216495,0.8230452674897119,0.8359133126934984,194,775,patient40
0.9175257731958762,0.6854423868312757,0.8359133126934984,194,775,patient41
0.9329896907216495,0.7854938271604938,0.8359133126934984,194,775,patient42
0.9175257731958762,0.6854423868312757,0.8359133126934984,194,775,patient43
0.9072164948453608,0.7001028806584362,0.8359133126934984,194,775,patient44
0.9072164948453608,0.7752057613168724,0.8359133126934984,194,775,patient45
0.9072164948453608,0.6813271604938271,0.8359133126934984,194,775,patient46
0.9123711340206185,0.6646090534979424,0.8359133126934984,194,775,patient47
0.9329896907216495,0.7854938271604938,0.8359133126934984,194,775,patient48
