target,imp_mean,imp_std,hlth_mean,hlth_std,gap_mean,imp_draw0,imp_draw1,imp_draw2,imp_draw3,imp_draw4,hlth_draw0,hlth_draw1,hlth_draw2,hlth_draw3,hlth_draw4
patient2,0.8085470085470086,0.13477198867984289,0.711111111111111,0.052520654686281074,0.09743589743589753,0.9145299145299145,0.8888888888888888,0.9401709401709402,0.5982905982905983,0.7008547008547008,0.7008547008547008,0.7948717948717948,0.7435897435897436,0.6581196581196581,0.6581196581196581
patient3,0.6495726495726496,0.039353382677679793,0.635897435897436,0.04344705992184219,0.013675213675213627,0.717948717948718,0.6324786324786325,0.5982905982905983,0.6581196581196581,0.6410256410256411,0.6324786324786325,0.5726495726495726,0.6324786324786325,0.6324786324786325,0.7094017094017094
patient6,0.411965811965812,0.1038945052924632,0.3658119658119658,0.05575899634290629,0.04615384615384621,0.3333333333333333,0.29914529914529914,0.5982905982905983,0.42735042735042733,0.4017094017094017,0.3504273504273504,0.26495726495726496,0.38461538461538464,0.41025641025641024,0.4188034188034188
patient8,0.8957264957264958,0.036019329069582016,0.841025641025641,0.03610036253323568,0.05470085470085473,0.9487179487179487,0.9230769230769231,0.8803418803418803,0.8803418803418803,0.8461538461538461,0.8034188034188035,0.8888888888888888,0.7948717948717948,0.8632478632478633,0.8547008547008547
patient9,0.8017094017094017,0.021213117343574128,0.7658119658119659,0.09103266294491859,0.03589743589743588,0.7777777777777778,0.811965811965812,0.8376068376068376,0.7948717948717948,0.7863247863247863,0.8803418803418803,0.6752136752136753,0.7777777777777778,0.8461538461538461,0.6495726495726496
patient10,0.6581196581196581,0.0940947620138317,0.5948717948717949,0.02453453007590995,0.06324786324786325,0.5726495726495726,0.5982905982905983,0.6581196581196581,0.8376068376068376,0.6239316239316239,0.6153846153846154,0.5982905982905983,0.5811965811965812,0.6239316239316239,0.5555555555555556
patient11,0.6837606837606837,0.08321819791205526,0.5025641025641026,0.08258374242175152,0.1811965811965811,0.6495726495726496,0.7606837606837606,0.7777777777777778,0.6837606837606838,0.5470085470085471,0.4188034188034188,0.5982905982905983,0.48717948717948717,0.5982905982905983,0.41025641025641024
patient13,0.8119658119658121,0.06509207782789668,0.6478632478632479,0.1821455556235553,0.16410256410256419,0.7264957264957265,0.8290598290598291,0.7777777777777778,0.8034188034188035,0.9230769230769231,0.4358974358974359,0.5555555555555556,0.8205128205128205,0.5213675213675214,0.905982905982906
patient18,0.935042735042735,0.04883027985328445,0.9333333333333332,0.02558398213178765,0.0017094017094018144,0.9572649572649573,0.9572649572649573,0.9572649572649573,0.9658119658119658,0.8376068376068376,0.9658119658119658,0.9316239316239316,0.9487179487179487,0.9316239316239316,0.8888888888888888
patient21,0.7863247863247864,0.1309673935683963,0.5811965811965811,0.10716190098227339,0.2051282051282053,0.6666666666666666,0.8376068376068376,0.9316239316239316,0.5982905982905983,0.8974358974358975,0.42735042735042733,0.5641025641025641,0.6923076923076923,0.7094017094017094,0.5128205128205128
