patient,capacity,arm,test_acc,train_acc,n_params,n_train_effective,params_per_train,fit_time_s
patient1,LDA_16,cal_only,0.7692307692307693,0.9791666666666666,51,432,0.11805555555555555,0.014093160629272461
patient1,LDA_16,gm_plus_cal,0.6410256410256411,0.6736199617651745,51,100432,0.0005078062768838617,0.15802693367004395
patient1,HGB_370,cal_only,0.7948717948717948,1.0,2200,432,5.092592592592593,0.9148402214050293
patient1,HGB_370,gm_plus_cal,0.8974358974358975,0.9961864744304604,37500,100432,0.37338696829695717,32.16325879096985
patient1,MLP_small,cal_only,0.6666666666666666,0.9143518518518519,128259,432,296.8958333333333,0.08803462982177734
patient1,MLP_small,gm_plus_cal,0.8888888888888888,0.9916660028676119,128259,143200,0.895663407821229,25.63877511024475
patient1,MLP_big,cal_only,0.8461538461538461,1.0,1069315,432,2475.266203703704,2.470789909362793
patient1,MLP_big,gm_plus_cal,0.8205128205128205,0.9991536562051936,1069315,143200,7.467283519553073,774.9354090690613
patient2,LDA_16,cal_only,0.7521367521367521,0.9537037037037037,51,432,0.11805555555555555,0.010262012481689453
patient2,LDA_16,gm_plus_cal,0.5299145299145299,0.6724350804524455,51,100432,0.0005078062768838617,0.1495060920715332
patient2,HGB_370,cal_only,0.8034188034188035,1.0,1274,432,2.949074074074074,1.051805019378662
patient2,HGB_370,gm_plus_cal,0.811965811965812,0.996644495778238,37500,100432,0.37338696829695717,33.26983880996704
patient2,MLP_small,cal_only,0.8034188034188035,0.9675925925925926,128259,432,296.8958333333333,0.09245800971984863
patient2,MLP_small,gm_plus_cal,0.8205128205128205,0.9938963676915724,128259,143200,0.895663407821229,33.52659463882446
patient2,MLP_big,cal_only,0.8632478632478633,1.0,1069315,432,2475.266203703704,2.462380886077881
patient2,MLP_big,gm_plus_cal,0.8376068376068376,0.998854946630556,1069315,143200,7.467283519553073,776.5713269710541
patient3,LDA_16,cal_only,0.8888888888888888,0.9976851851851852,51,432,0.11805555555555555,0.011042118072509766
patient3,LDA_16,gm_plus_cal,0.3162393162393162,0.6718774892464553,51,100432,0.0005078062768838617,0.14795517921447754
patient3,HGB_370,cal_only,0.6495726495726496,1.0,1544,432,3.574074074074074,1.1728949546813965
patient3,HGB_370,gm_plus_cal,0.8205128205128205,0.9958578938983591,37500,100432,0.37338696829695717,33.19366502761841
patient3,MLP_small,cal_only,0.7521367521367521,0.9814814814814815,128259,432,296.8958333333333,0.11908388137817383
patient3,MLP_small,gm_plus_cal,0.905982905982906,0.9892763262705114,128259,143200,0.895663407821229,24.853573083877563
patient3,MLP_big,cal_only,0.9914529914529915,1.0,1069315,432,2475.266203703704,2.4483120441436768
patient3,MLP_big,gm_plus_cal,0.8461538461538461,0.997869205034252,1069315,143200,7.467283519553073,771.9097299575806
patient4,LDA_16,cal_only,0.9743589743589743,0.9768518518518519,51,432,0.11805555555555555,0.012713193893432617
patient4,LDA_16,gm_plus_cal,0.7008547008547008,0.6716385215867453,51,100432,0.0005078062768838617,0.1826632022857666
patient4,HGB_370,cal_only,0.8974358974358975,1.0,1670,432,3.865740740740741,1.116055965423584
patient4,HGB_370,gm_plus_cal,0.8974358974358975,0.9965847538633105,37500,100432,0.37338696829695717,32.832069873809814
patient4,MLP_small,cal_only,0.9401709401709402,0.9837962962962963,128259,432,296.8958333333333,0.11222696304321289
patient4,MLP_small,gm_plus_cal,0.9316239316239316,0.9965847538633105,128259,143200,0.895663407821229,39.42903184890747
patient4,MLP_big,cal_only,0.9572649572649573,1.0,1069315,432,2475.266203703704,2.442800998687744
patient4,MLP_big,gm_plus_cal,0.9230769230769231,0.9991337422335511,1069315,143200,7.467283519553073,759.321918964386
patient5,LDA_16,cal_only,0.7264957264957265,0.9351851851851852,51,432,0.11805555555555555,0.011115074157714844
patient5,LDA_16,gm_plus_cal,0.4358974358974359,0.6734407360203919,51,100432,0.0005078062768838617,0.14337897300720215
