target,imp_mean,imp_std,hlth_mean,hlth_std,gap_mean,imp_draw0,imp_draw1,imp_draw2,imp_draw3,imp_draw4,hlth_draw0,hlth_draw1,hlth_draw2,hlth_draw3,hlth_draw4
patient2,0.8085470085470086,0.1347719886798428,0.711111111111111,0.052520654686281,0.0974358974358975,0.9145299145299144,0.8888888888888888,0.9401709401709402,0.5982905982905983,0.7008547008547008,0.7008547008547008,0.7948717948717948,0.7435897435897436,0.6581196581196581,0.6581196581196581
patient3,0.6495726495726496,0.0393533826776797,0.635897435897436,0.0434470599218421,0.0136752136752136,0.717948717948718,0.6324786324786325,0.5982905982905983,0.6581196581196581,0.6410256410256411,0.6324786324786325,0.5726495726495726,0.6324786324786325,0.6324786324786325,0.7094017094017094
patient6,0.411965811965812,0.1038945052924632,0.3658119658119658,0.0557589963429062,0.0461538461538462,0.3333333333333333,0.2991452991452991,0.5982905982905983,0.4273504273504273,0.4017094017094017,0.3504273504273504,0.2649572649572649,0.3846153846153846,0.4102564102564102,0.4188034188034188
patient8,0.8957264957264958,0.036019329069582,0.841025641025641,0.0361003625332356,0.0547008547008547,0.9487179487179488,0.9230769230769232,0.8803418803418803,0.8803418803418803,0.8461538461538461,0.8034188034188035,0.8888888888888888,0.7948717948717948,0.8632478632478633,0.8547008547008547
patient9,0.8017094017094017,0.0212131173435741,0.7658119658119659,0.0910326629449185,0.0358974358974358,0.7777777777777778,0.811965811965812,0.8376068376068376,0.7948717948717948,0.7863247863247863,0.8803418803418803,0.6752136752136753,0.7777777777777778,0.8461538461538461,0.6495726495726496
patient10,0.6581196581196581,0.0940947620138317,0.5948717948717949,0.0245345300759099,0.0632478632478632,0.5726495726495726,0.5982905982905983,0.6581196581196581,0.8376068376068376,0.6239316239316239,0.6153846153846154,0.5982905982905983,0.5811965811965812,0.6239316239316239,0.5555555555555556
patient11,0.6837606837606837,0.0832181979120552,0.5025641025641026,0.0825837424217515,0.1811965811965811,0.6495726495726496,0.7606837606837606,0.7777777777777778,0.6837606837606838,0.5470085470085471,0.4188034188034188,0.5982905982905983,0.4871794871794871,0.5982905982905983,0.4102564102564102
patient13,0.8119658119658121,0.0650920778278966,0.6478632478632479,0.1821455556235553,0.1641025641025641,0.7264957264957265,0.8290598290598291,0.7777777777777778,0.8034188034188035,0.9230769230769232,0.4358974358974359,0.5555555555555556,0.8205128205128205,0.5213675213675214,0.905982905982906
patient18,0.935042735042735,0.0488302798532844,0.9333333333333332,0.0255839821317876,0.0017094017094018,0.9572649572649572,0.9572649572649572,0.9572649572649572,0.9658119658119658,0.8376068376068376,0.9658119658119658,0.9316239316239316,0.9487179487179488,0.9316239316239316,0.8888888888888888
patient21,0.7863247863247864,0.1309673935683963,0.5811965811965811,0.1071619009822733,0.2051282051282053,0.6666666666666666,0.8376068376068376,0.9316239316239316,0.5982905982905983,0.8974358974358975,0.4273504273504273,0.5641025641025641,0.6923076923076923,0.7094017094017094,0.5128205128205128
patient23,0.6581196581196582,0.0646416082091933,0.6478632478632479,0.0583204174674597,0.0102564102564103,0.6923076923076923,0.7692307692307693,0.6239316239316239,0.5982905982905983,0.6068376068376068,0.7094017094017094,0.6324786324786325,0.5470085470085471,0.6495726495726496,0.7008547008547008
patient24,0.6102564102564103,0.0565912661786217,0.6085470085470085,0.0785953089406676,0.0017094017094018,0.5384615384615384,0.5641025641025641,0.6666666666666666,0.6837606837606838,0.5982905982905983,0.6923076923076923,0.6153846153846154,0.4786324786324786,0.5726495726495726,0.6837606837606838
patient28,0.8735042735042736,0.0261488180184245,0.8683760683760685,0.0256979425271331,0.0051282051282051,0.8632478632478633,0.8888888888888888,0.8803418803418803,0.8290598290598291,0.905982905982906,0.8376068376068376,0.8888888888888888,0.8376068376068376,0.8803418803418803,0.8974358974358975
patient30,0.7794871794871796,0.0490690601518199,0.8495726495726496,0.0966379078639492,-0.0700854700854699,0.811965811965812,0.6923076923076923,0.8290598290598291,0.8034188034188035,0.7606837606837606,0.8888888888888888,0.7521367521367521,0.9572649572649572,0.9316239316239316,0.717948717948718
patient32,0.6735042735042734,0.0321622012345756,0.6564102564102565,0.0719980844056502,0.0170940170940169,0.7094017094017094,0.6153846153846154,0.6923076923076923,0.6666666666666666,0.6837606837606838,0.7264957264957265,0.7606837606837606,0.5982905982905983,0.5982905982905983,0.5982905982905983
patient34,0.9333333333333332,0.0250063911766286,0.9128205128205128,0.041309558884084,0.0205128205128205,0.905982905982906,0.9230769230769232,0.9743589743589745,0.9487179487179488,0.9145299145299144,0.9401709401709402,0.8547008547008547,0.9743589743589745,0.905982905982906,0.8888888888888888
patient35,0.6547008547008547,0.0571052755162053,0.611965811965812,0.1065603239351022,0.0427350427350426,0.5982905982905983,0.6837606837606838,0.7521367521367521,0.6324786324786325,0.6068376068376068,0.4102564102564102,0.6495726495726496,0.6837606837606838,0.6068376068376068,0.7094017094017094
patient36,0.6581196581196581,0.0984947712197465,0.7145299145299147,0.0344434900506151,-0.0564102564102565,0.5128205128205128,0.7692307692307693,0.5726495726495726,0.7350427350427351,0.7008547008547008,0.7350427350427351,0.7692307692307693,0.6752136752136753,0.7094017094017094,0.6837606837606838
patient37,0.5829059829059828,0.0490690601518199,0.588034188034188,0.0466262622119174,-0.0051282051282052,0.5042735042735043,0.6324786324786325,0.5470085470085471,0.6153846153846154,0.6153846153846154,0.6153846153846154,0.5982905982905983,0.5641025641025641,0.6495726495726496,0.5128205128205128
patient39,0.7726495726495727,0.0819087080390491,0.7435897435897436,0.0677320094227656,0.029059829059829,0.7264957264957265,0.8290598290598291,0.8290598290598291,0.8461538461538461,0.6324786324786325,0.7435897435897436,0.7350427350427351,0.8547008547008547,0.6410256410256411,0.7435897435897436
patient42,0.8427350427350427,0.0552853389018674,0.7982905982905983,0.0885925368878628,0.0444444444444444,0.8205128205128205,0.9230769230769232,0.8290598290598291,0.8803418803418803,0.7606837606837606,0.7435897435897436,0.8888888888888888,0.811965811965812,0.6581196581196581,0.8888888888888888
patient43,0.8034188034188035,0.1195359571763903,0.5538461538461539,0.0440482007751286,0.2495726495726495,0.9316239316239316,0.5982905982905983,0.8717948717948718,0.8717948717948718,0.7435897435897436,0.5555555555555556,0.6239316239316239,0.5213675213675214,0.4957264957264957,0.5726495726495726
patient45,0.6444444444444445,0.052297636036849,0.6888888888888889,0.0220241003875643,-0.0444444444444444,0.6752136752136753,0.6495726495726496,0.6153846153846154,0.717948717948718,0.5641025641025641,0.6752136752136753,0.7094017094017094,0.6581196581196581,0.6837606837606838,0.717948717948718
patient47,0.7008547008547009,0.0609180501921554,0.5726495726495726,0.0162168085136839,0.1282051282051283,0.6837606837606838,0.7350427350427351,0.7350427350427351,0.5897435897435898,0.7606837606837606,0.5726495726495726,0.5470085470085471,0.5897435897435898,0.5641025641025641,0.5897435897435898
patient48,0.717948717948718,0.0452265181378562,0.7606837606837606,0.0637311175463495,-0.0427350427350426,0.7435897435897436,0.6923076923076923,0.7521367521367521,0.7606837606837606,0.6410256410256411,0.7948717948717948,0.8290598290598291,0.6410256410256411,0.7692307692307693,0.7692307692307693
patient1,0.7692307692307692,0.0507090494844148,0.7333333333333334,0.08553843420989267,0.03589743589743577,0.811965811965812,0.7606837606837606,0.8290598290598291,0.7606837606837606,0.6837606837606838,0.811965811965812,0.7948717948717948,0.7264957264957265,0.7606837606837606,0.5726495726495726
patient4,0.5931623931623932,0.06455113705469813,0.7760683760683761,0.060773978921816005,-0.18290598290598292,0.6410256410256411,0.5897435897435898,0.47863247863247865,0.5897435897435898,0.6666666666666666,0.6923076923076923,0.7264957264957265,0.7777777777777778,0.8290598290598291,0.8547008547008547
