k,mean_acc,n_sessions
5,0.8929262658425423,57
10,0.962477367796716,57
20,0.9786476868327402,57
30,0.9820191047012549,57
40,0.9820191047012548,57
50,0.9829556096647313,57
60,0.9790847224823624,57
