participant,session,n_cal,n_test,po_acc,gm_cal_acc,zs_acc
patient1,impaired_01,432,117,0.7948717948717948,0.811965811965812,0.17094017094017094
patient1,impaired_02,432,117,0.9658119658119658,0.9316239316239316,0.21367521367521367
patient1,impaired_03,432,117,0.9145299145299145,0.9914529914529915,0.7692307692307693
patient1,impaired_04,432,117,1.0,0.9829059829059829,0.7606837606837606
patient1,impaired_05,432,117,0.9230769230769231,0.8547008547008547,0.26495726495726496
patient1,impaired_06,432,117,0.9316239316239316,0.9401709401709402,0.2222222222222222
