threshold_days,n_patients,imp_mean,hlth_mean,gap,ci_lo,ci_hi,wilcoxon_p
7,48,0.7418447293447293,0.719408831908832,0.02243589743589743,-0.004522792022792007,0.04629896723646723,0.021029840056232985
14,45,0.744121557454891,0.719278252611586,0.02484330484330484,-0.002358974358974372,0.05193162393162389,0.015516695464981467
21,37,0.7512589512589514,0.722892122892123,0.028366828366828356,-0.0017128667128667337,0.05724763224763222,0.012161505590484012
30,25,0.7339487179487181,0.6862222222222223,0.04772649572649573,0.018798290598290593,0.08075384615384616,0.003685474395751953
45,16,0.7180555555555556,0.6773504273504274,0.04070512820512821,0.004799679487179506,0.08280181623931626,0.0416259765625
60,12,0.7549857549857549,0.7018518518518518,0.05313390313390314,0.007115384615384582,0.10499287749287745,0.026123046875
90,3,0.7954415954415954,0.7008547008547009,0.09458689458689455,0.013675213675213627,0.24957264957264957,0.125
